model_name,family,selected,feature_extractor,hf_model_id,classifier,fine_tuned,remote_api,random_seed,notes
tfidf_logistic_regression,tfidf_simple,True,TfidfVectorizer,,logistic_regression,False,False,42,Simple local baseline; random forest is included in the default simple/classical set.
tfidf_linear_svm,tfidf_simple,True,TfidfVectorizer,,linear_svm,False,False,42,Simple local baseline; random forest is included in the default simple/classical set.
tfidf_random_forest,tfidf_simple,True,TfidfVectorizer,,random_forest,False,False,42,Simple local baseline; random forest is included in the default simple/classical set.
tfidf_xgboost,tfidf_simple,True,TfidfVectorizer,,xgboost,False,False,42,Simple local baseline; random forest is included in the default simple/classical set.
tfidf_hard_voting,tfidf_simple,True,TfidfVectorizer,,hard_voting,False,False,42,Simple local baseline; random forest is included in the default simple/classical set.
modernbert_embedding_logistic_regression,frozen_transformer_embeddings,True,AutoModel attention-masked mean pooling,answerdotai/ModernBERT-base,logistic_regression,False,False,42,ModernBERT frozen mean-pooled embeddings followed by a deterministic linear classifier.
modernbert_embedding_random_forest,frozen_transformer_embeddings,True,AutoModel attention-masked mean pooling,answerdotai/ModernBERT-base,random_forest,False,False,42,ModernBERT frozen mean-pooled embeddings followed by random forest.
scibert_embedding_logistic_regression,frozen_transformer_embeddings,True,AutoModel attention-masked mean pooling,allenai/scibert_scivocab_uncased,logistic_regression,False,False,42,SciBERT scientific-domain frozen mean-pooled embeddings followed by a deterministic linear classifier.
scibert_embedding_random_forest,frozen_transformer_embeddings,True,AutoModel attention-masked mean pooling,allenai/scibert_scivocab_uncased,random_forest,False,False,42,SciBERT scientific-domain frozen mean-pooled embeddings followed by random forest.
deberta_v3_embedding_logistic_regression,frozen_transformer_embeddings,True,AutoModel attention-masked mean pooling,microsoft/deberta-v3-base,logistic_regression,False,False,42,DeBERTa-v3 frozen mean-pooled embeddings followed by a deterministic linear classifier.
deberta_v3_embedding_random_forest,frozen_transformer_embeddings,True,AutoModel attention-masked mean pooling,microsoft/deberta-v3-base,random_forest,False,False,42,DeBERTa-v3 frozen mean-pooled embeddings followed by random forest.
openai_zero_shot,openai_prompting,True,prompted structured-output classification,,gpt-4.1-mini,False,True,42,OpenAI API zero-shot structured-output classifier; no supervised training.
openai_few_shot,openai_prompting,True,prompted structured-output classification,,gpt-4.1-mini,False,True,42,OpenAI API few-shot structured-output classifier using deterministic examples from the training split; no fine-tuning.
