source,level,label,support,proportion_of_assignments
bio.tools,level1_high_level,Biosciences,13871,0.43723994
bio.tools,level1_high_level,Data acquisition,6996,0.22052705
bio.tools,level1_high_level,Computer science,3285,0.10354936
bio.tools,level1_high_level,Data management,1954,0.06159375
bio.tools,level1_high_level,Informatics,1236,0.03896104
bio.tools,level1_high_level,Environmental sciences,1153,0.03634472
bio.tools,level1_high_level,Mathematics,1062,0.03347623
bio.tools,level1_high_level,Chemistry,775,0.02442945
bio.tools,level1_high_level,Experimental design and studies,634,0.01998487
bio.tools,level1_high_level,Literature and language,464,0.01462615
bio.tools,level1_high_level,Physics,269,0.00847938
bio.tools,level1_high_level,Open science,25,0.00078805
bio.tools,level2_fine_grained,Machine learning,2504,0.04635406
bio.tools,level2_fine_grained,RNA-Seq,1769,0.03274774
bio.tools,level2_fine_grained,Workflows,1497,0.02771247
bio.tools,level2_fine_grained,Gene expression,1430,0.02647217
bio.tools,level2_fine_grained,"Molecular interactions, pathways and networks",1360,0.02517633
bio.tools,level2_fine_grained,Small molecules,1347,0.02493567
bio.tools,level2_fine_grained,Sequencing,1273,0.02356578
bio.tools,level2_fine_grained,Genotype and phenotype,1234,0.02284381
bio.tools,level2_fine_grained,Imaging,1087,0.02012255
bio.tools,level2_fine_grained,Transcriptomics,1026,0.01899332
bio.tools,level2_fine_grained,Mapping,1001,0.01853052
bio.tools,level2_fine_grained,Gene transcripts,1001,0.01853052
bio.tools,level2_fine_grained,Oncology,998,0.01847498
bio.tools,level2_fine_grained,Cell biology,982,0.01817879
bio.tools,level2_fine_grained,Proteomics,964,0.01784557
bio.tools,level2_fine_grained,Transcription factors and regulatory sites,907,0.01679039
bio.tools,level2_fine_grained,Sequence assembly,900,0.0166608
bio.tools,level2_fine_grained,Sequence analysis,855,0.01582776
bio.tools,level2_fine_grained,Genomics,844,0.01562413
bio.tools,level2_fine_grained,Genetic variation,799,0.01479109
bio.tools,level2_fine_grained,Metagenomics,727,0.01345823
bio.tools,level2_fine_grained,Statistics and probability,721,0.01334716
bio.tools,level2_fine_grained,DNA polymorphism,721,0.01334716
bio.tools,level2_fine_grained,Model organisms,717,0.01327311
bio.tools,level2_fine_grained,Pathology,659,0.01219941
bio.tools,level2_fine_grained,Proteomics experiment,641,0.0118662
bio.tools,level2_fine_grained,"Functional, regulatory and non-coding RNA",613,0.01134786
bio.tools,level2_fine_grained,DNA,532,0.00984839
bio.tools,level2_fine_grained,Plant biology,466,0.00862659
bio.tools,level2_fine_grained,Phylogenetics,457,0.00845999
bio.tools,level2_fine_grained,Bioinformatics,457,0.00845999
bio.tools,level2_fine_grained,Whole genome sequencing,449,0.00831189
bio.tools,level2_fine_grained,Epigenetics,442,0.00818231
bio.tools,level2_fine_grained,Metabolomics,434,0.00803421
bio.tools,level2_fine_grained,Protein interactions,416,0.00770099
bio.tools,level2_fine_grained,Microarray experiment,394,0.00729373
bio.tools,level2_fine_grained,Microbial ecology,381,0.00705307
bio.tools,level2_fine_grained,GWAS study,374,0.00692349
bio.tools,level2_fine_grained,Medical imaging,373,0.00690498
bio.tools,level2_fine_grained,Biomarkers,343,0.00634962
bio.tools,level2_fine_grained,RNA,342,0.00633111
bio.tools,level2_fine_grained,Zoology,327,0.00605343
bio.tools,level2_fine_grained,Ontology and terminology,319,0.00590533
bio.tools,level2_fine_grained,ChIP-seq,318,0.00588682
bio.tools,level2_fine_grained,Mathematics,316,0.00584979
bio.tools,level2_fine_grained,Public health and epidemiology,315,0.00583128
bio.tools,level2_fine_grained,Drug discovery,315,0.00583128
bio.tools,level2_fine_grained,Phylogeny,308,0.0057017
bio.tools,level2_fine_grained,"Sequence sites, features and motifs",307,0.00568319
bio.tools,level2_fine_grained,Exome sequencing,289,0.00534997
bio.tools,level2_fine_grained,MRI,288,0.00533146
bio.tools,level2_fine_grained,Neurobiology,282,0.00522039
bio.tools,level2_fine_grained,Endocrinology and metabolism,273,0.00505378
bio.tools,level2_fine_grained,Literature and language,269,0.00497973
bio.tools,level2_fine_grained,Probes and primers,264,0.00488717
bio.tools,level2_fine_grained,Data visualisation,258,0.0047761
bio.tools,level2_fine_grained,Molecular biology,251,0.00464651
bio.tools,level2_fine_grained,Molecular modelling,251,0.00464651
bio.tools,level2_fine_grained,Genetics,248,0.00459098
bio.tools,level2_fine_grained,Epigenomics,233,0.0043133
bio.tools,level2_fine_grained,Taxonomy,222,0.00410967
bio.tools,level2_fine_grained,Protein expression,218,0.00403562
bio.tools,level2_fine_grained,Evolutionary biology,209,0.00386901
bio.tools,level2_fine_grained,Tomography,209,0.00386901
bio.tools,level2_fine_grained,Molecular dynamics,208,0.0038505
bio.tools,level2_fine_grained,Immunoproteins and antigens,205,0.00379496
bio.tools,level2_fine_grained,Natural language processing,195,0.00360984
bio.tools,level2_fine_grained,RNA splicing,195,0.00360984
bio.tools,level2_fine_grained,Structure prediction,194,0.00359133
bio.tools,level2_fine_grained,Agricultural science,193,0.00357282
bio.tools,level2_fine_grained,Preclinical and clinical studies,192,0.0035543
bio.tools,level2_fine_grained,Computer science,179,0.00331365
bio.tools,level2_fine_grained,Ecology,178,0.00329514
bio.tools,level2_fine_grained,Proteins,177,0.00327662
bio.tools,level2_fine_grained,Protein folds and structural domains,175,0.0032396
bio.tools,level2_fine_grained,Personalised medicine,171,0.00316555
bio.tools,level2_fine_grained,Gene regulation,169,0.00312853
bio.tools,level2_fine_grained,Protein modifications,169,0.00312853
bio.tools,level2_fine_grained,Medicine,167,0.0030915
bio.tools,level2_fine_grained,Systems biology,160,0.00296192
bio.tools,level2_fine_grained,Population genetics,157,0.00290638
bio.tools,level2_fine_grained,Chemistry,156,0.00288787
bio.tools,level2_fine_grained,Phylogenomics,152,0.00281382
bio.tools,level2_fine_grained,Infectious disease,151,0.00279531
bio.tools,level2_fine_grained,NMR,151,0.00279531
bio.tools,level2_fine_grained,Gene and protein families,150,0.0027768
bio.tools,level2_fine_grained,Biology,149,0.00275829
bio.tools,level2_fine_grained,Cytometry,146,0.00270275
bio.tools,level2_fine_grained,Nucleic acid structure analysis,146,0.00270275
bio.tools,level2_fine_grained,Physiology,144,0.00266573
bio.tools,level2_fine_grained,Metagenomic sequencing,142,0.0026287
bio.tools,level2_fine_grained,Physics,139,0.00257317
bio.tools,level2_fine_grained,Cheminformatics,138,0.00255466
